"legislatura","idddl","dataStato","teseo","stato"
15,23174,2008-02-28,"INQUINAMENTO DELLE ACQUE","ritirato"
15,23174,2008-02-28,"TRASPORTI MARITTIMI","ritirato"
15,23174,2008-02-28,"IDROCARBURI","ritirato"
15,23174,2008-02-28,"NAVI E NATANTI","ritirato"
15,23174,2008-02-28,"ISPEZIONI","ritirato"
15,23174,2008-02-28,"CAPITANERIE DI PORTO E UFFICI MARITTIMI","ritirato"
15,23174,2008-02-28,"CONSULENTI E ATTIVITA' CONSULTIVA","ritirato"
15,23174,2008-02-28,"MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI","ritirato"
15,23174,2008-02-28,"MINISTERO DELL'AMBIENTE E DELLA TUTELA DEL TERRITORIO","ritirato"
15,23174,2008-02-28,"TRASMISSIONE DI ATTI","ritirato"
15,23174,2008-02-28,"DIVIETI","ritirato"
15,23174,2008-02-28,"ALBI ELENCHI E REGISTRI","ritirato"
15,23174,2008-02-28,"RIPARAZIONI","ritirato"
15,23174,2008-02-28,"ARMATORI","ritirato"
15,23174,2008-02-28,"IMPUGNAZIONE DI ATTI","ritirato"
15,23174,2008-02-28,"PORTI","ritirato"
15,23174,2008-02-28,"UNIONE EUROPEA","ritirato"
15,23174,2008-02-28,"PUBBLICITA' DI ATTI E DOCUMENTI","ritirato"
15,23174,2008-02-28,"RIMBORSO SPESE","ritirato"
15,23174,2008-02-28,"NAVI PETROLIERE","ritirato"
15,23174,2008-02-28,"SANZIONI AMMINISTRATIVE","ritirato"
15,23174,2008-02-28,"RISARCIMENTO DI DANNI","ritirato"
15,23174,2008-02-28,"SOSTANZE TOSSICHE E NOCIVE","ritirato"
15,23174,2008-02-28,"MINISTERO DELL' ECONOMIA E DELLE FINANZE","ritirato"
15,23174,2008-02-28,"MINISTERO PER LE POLITICHE AGRICOLE E FORESTALI","ritirato"
15,26958,2008-03-02,"ESPULSIONE DI STRANIERI","decreto legge decaduto"
15,26958,2008-03-02,"ORDINE PUBBLICO","decreto legge decaduto"
15,26958,2008-03-02,"REATI DI TERRORISMO INTERNAZIONALE","decreto legge decaduto"
15,26958,2008-03-02,"CITTADINI DELL' UNIONE EUROPEA","decreto legge decaduto"
15,26958,2008-03-02,"DECRETI MINISTERIALI","decreto legge decaduto"
15,26958,2008-03-02,"QUESTORI E QUESTURA","decreto legge decaduto"
15,26958,2008-03-02,"TRIBUNALI","decreto legge decaduto"
15,26958,2008-03-02,"IMPUTATI E INDIZIATI DI REATO","decreto legge decaduto"
15,26958,2008-03-02,"CUSTODIA CAUTELARE","decreto legge decaduto"
15,26958,2008-03-02,"AUTORIZZAZIONI","decreto legge decaduto"
15,26958,2008-03-02,"COMPETENZA PER MATERIA","decreto legge decaduto"
15,26958,2008-03-02,"MINISTERO DELL' INTERNO","decreto legge decaduto"
15,26958,2008-03-02,"FAMIGLIA","decreto legge decaduto"
15,26958,2008-03-02,"CONDANNE PENALI","decreto legge decaduto"
15,26958,2008-03-02,"NOTIFICAZIONE DI ATTI","decreto legge decaduto"
15,26958,2008-03-02,"IMPUGNAZIONE DI ATTI","decreto legge decaduto"
15,26958,2008-03-02,"DIVIETI","decreto legge decaduto"
15,26958,2008-03-02,"LIMITI E VALORI DI RIFERIMENTO","decreto legge decaduto"
15,26958,2008-03-02,"LINGUE STRANIERE","decreto legge decaduto"
15,26958,2008-03-02,"LINGUA ITALIANA","decreto legge decaduto"
15,26958,2008-03-02,"REVOCA","decreto legge decaduto"
15,26958,2008-03-02,"REATI CONTRO I DIRITTI FONDAMENTALI","decreto legge decaduto"
15,26958,2008-03-02,"REATI CONTRO IL CORPO E L' ONORE","decreto legge decaduto"
15,26958,2008-03-02,"REATI CONTRO IL PATRIMONIO","decreto legge decaduto"
15,26958,2008-03-02,"REATI CONTRO L'  ORDINE E LA SICUREZZA PUBBLICA","decreto legge decaduto"
15,26958,2008-03-02,"REATI CONTRO LA PERSONALITA' DELLO STATO","decreto legge decaduto"
15,26958,2008-03-02,"ARMI","decreto legge decaduto"
15,26958,2008-03-02,"PRODUZIONE E SPACCIO DI DROGA","decreto legge decaduto"
15,26958,2008-03-02,"PATTEGGIAMENTO","decreto legge decaduto"
15,26958,2008-03-02,"ABITUALITA' DEL REATO","decreto legge decaduto"
15,26958,2008-03-02,"MAFIA E CAMORRA","decreto legge decaduto"
15,26958,2008-03-02,"PENE DETENTIVE","decreto legge decaduto"
15,26958,2008-03-02,"CENTRI DI PERMANENZA TEMPORANEA ( CPT )","decreto legge decaduto"
15,26958,2008-03-02,"ESECUZIONE DI SENTENZE PENALI","decreto legge decaduto"
15,26958,2008-03-02,"ASSOCIAZIONI SEGRETE","decreto legge decaduto"
15,26958,2008-03-02,"DIFESA PENALE","decreto legge decaduto"
15,26958,2008-03-02,"RAPPRESENTANZE DIPLOMATICHE E CONSOLARI","decreto legge decaduto"
15,26958,2008-03-02,"RICORSI GIURISDIZIONALI","decreto legge decaduto"
15,26958,2008-03-02,"TRIBUNALI AMMINISTRATIVI REGIONALI","decreto legge decaduto"
15,26958,2008-03-02,"ROMA","decreto legge decaduto"
15,26958,2008-03-02,"AUTENTICAZIONE DI ATTI","decreto legge decaduto"
15,26958,2008-03-02,"TRASMISSIONE DI ATTI","decreto legge decaduto"
15,26959,2008-03-02,"CONTRATTI COLLETTIVI DI LAVORO","decreto legge decaduto"
15,26959,2008-03-02,"IMPRESE DI PULIZIA","decreto legge decaduto"
15,26959,2008-03-02,"ENTI LIRICI","decreto legge decaduto"
15,26959,2008-03-02,"FONDAZIONI","decreto legge decaduto"
15,26959,2008-03-02,"APPALTO CONCORSO E GARE DI APPALTO","decreto legge decaduto"
15,26959,2008-03-02,"MISURE CONTRO LA DISOCCUPAZIONE","decreto legge decaduto"
15,26959,2008-03-02,"LICENZIAMENTO","decreto legge decaduto"
15,26959,2008-03-02,"TRATTAMENTO ECONOMICO","decreto legge decaduto"
15,26959,2008-03-02,"TRATTAMENTO NORMATIVO","decreto legge decaduto"
15,26959,2008-03-02,"DELIBERAZIONI","decreto legge decaduto"
15,26959,2008-03-02,"CONSIGLI DI AMMINISTRAZIONE","decreto legge decaduto"
15,26959,2008-03-02,"ACCONTI E ANTICIPAZIONI","decreto legge decaduto"
15,26959,2008-03-02,"REVISORI DEI CONTI","decreto legge decaduto"
15,26959,2008-03-02,"BILANCI DI ENTI E SOCIETA'","decreto legge decaduto"
15,26959,2008-03-02,"TRASMISSIONE DI ATTI","decreto legge decaduto"
15,26959,2008-03-02,"MINISTERO DELL' ECONOMIA E DELLE FINANZE","decreto legge decaduto"
15,26959,2008-03-02,"MINISTERO PER I BENI E LE ATTIVITA' CULTURALI","decreto legge decaduto"
15,22639,2008-03-04,"LEGGE DELEGA","ritirato"
15,22639,2008-03-04,"PENSIONE DI GUERRA","ritirato"
15,22639,2008-03-04,"DECRETI LEGISLATIVI DELEGATI","ritirato"
15,22639,2008-03-04,"ASSEGNI DI INVALIDITA'","ritirato"
15,22639,2008-03-04,"GRANDI INVALIDI","ritirato"
15,22639,2008-03-04,"RISARCIMENTO DI DANNI ALLA PERSONA","ritirato"
15,22639,2008-03-04,"REATI SESSUALI","ritirato"
15,22639,2008-03-04,"PENSIONE DI REVERSIBILITA'","ritirato"
15,22639,2008-03-04,"RILIQUIDAZIONE DI PENSIONI O INDENNITA'","ritirato"
15,22656,2008-03-04,"ESENZIONI DA IMPOSTE TASSE E CONTRIBUTI","ritirato"
15,22656,2008-03-04,"ICI","ritirato"
15,22656,2008-03-04,"COSTRUZIONI RURALI","ritirato"
15,22656,2008-03-04,"INTERPRETAZIONE AUTENTICA","ritirato"
15,22656,2008-03-04,"COOPERATIVE","ritirato"
